figure	frame	start	end	topic
figures/fig_01_gpt6_meme.jpg	f_0001.png	00:00:00	00:00:14	开场梗图：GPT-6发布与『不属于你的力量』[ocr]
figures/fig_02_spec_impl_simon.jpg	f_0005.png	00:01:00	00:01:14	开放问题与spec-impl空间，Simon 1973年结构良好/不良问题[ocr]
figures/fig_03_learn_why.jpg	f_0038.png	00:09:15	00:09:29	还是要学习：专家知识围绕核心概念组织（How People Learn 2000）[ocr]
figures/fig_04_project_directory.jpg	f_0040.png	00:09:45	00:09:59	软件工程项目=一个目录：intent/spec/impl混合，构建后交付[ocr]
figures/fig_05_usb_era.jpg	f_0060.png	00:14:45	00:14:59	古早时期：U盘存代码、打包发邮件，U盘坏了代码没了[ocr]
figures/fig_06_today_git.jpg	f_0062.png	00:15:15	00:15:29	今天：Git标准答案，clone/pull/make submit作业流程[ocr]
figures/fig_07_learning_awareness.jpg	f_0085.png	00:21:15	00:21:29	学习意识更重要：别人的项目是素材，『上课耽误学习』的本质[ocr]
figures/fig_08_attention_detail.jpg	f_0090.png	00:22:15	00:22:29	对细节保持注意力：先自己解一遍再对比作者做法[ocr]
figures/fig_09_interview_git.jpg	f_0102.png	00:25:15	00:25:29	保研面试：git rebase答对0/10，merge冲突观察没人答出[ocr]
figures/fig_10_pre_git_era.jpg	f_0121.png	00:30:00	00:30:14	Git之前怎么管版本：目录复制、RCS、CVS/SVN服务器模型、Git[ocr]
figures/fig_11_git_history_timeline.jpg	f_0133.png	00:33:15	00:33:29	Git简史：Linux内核1991-2002补丁邮件→BitKeeper→2005 Git[ocr]
figures/fig_12_derive_git.jpg	f_0138.png	00:34:15	00:34:29	从已有经验长出Git概念：撤销、配套快照、汇合改动[ocr]
figures/fig_13_git_init.jpg	f_0142.png	00:35:15	00:35:29	git init终端：生成.git目录，master初始分支提示[ocr]
figures/fig_14_git_add_status.jpg	f_0146.png	00:36:15	00:36:29	git add hello.c与git status：工作区/暂存区状态[ocr]
figures/fig_15_commit_review_ai.jpg	f_0162.png	00:40:15	00:40:29	AI点评commit不符合best practice：问题在提交信息[ocr]
figures/fig_16_empty_commit.jpg	f_0170.png	00:42:30	00:42:44	git commit --allow-empty：无改动提交，用于触发CI或留档[ocr]
figures/fig_17_binary_gitignore.jpg	f_0189.png	00:46:15	00:46:29	提交审查：编译产物hello(15KB)不该入库，应加.gitignore[ocr]
figures/fig_18_rewrite_history.jpg	f_0198.png	00:49:15	00:49:29	agent重写历史对照表：丢弃slop信息、剔除空提交、移除二进制[ocr]
figures/fig_19_agents_md.jpg	f_0204.png	00:50:45	00:50:59	AGENTS.md约定：任何git操作前逐文件检查并解释best practice[ocr]
figures/fig_20_file_review.jpg	f_0209.png	00:52:00	00:52:14	agent逐文件审查：'a' undeclared、缺分号，不建议直接提交[ocr]
figures/fig_21_bisect_blame_help.jpg	f_0214.png	00:53:15	00:53:29	git bisect/blame帮助文本：--ignore-rev等选项[ocr]
figures/fig_22_hypertension_moment.jpg	f_0222.png	00:55:15	00:55:29	进组高血压时刻：生成文件/个人配置/密钥/.DS_Store不提交[ocr]
figures/fig_23_case_choice.jpg	f_0239.png	00:59:30	00:59:44	真实项目的两难：check规则名大写[TYPO-CHECK]还是小写[ocr]
figures/fig_24_no_old_learning.jpg	f_0273.png	01:08:00	01:08:14	告别古法学习：计算机科学定律与可视化教学[ocr]
figures/fig_25_learn_git_branching.jpg	f_0276.png	01:08:45	01:08:59	Learn Git Branching：模拟动画教学工具界面[ocr]
figures/fig_26_gitv_visualizer.jpg	f_0293.png	01:13:00	01:13:14	gitv实时可视化：main分支commit树与暂存区[ocr]
figures/fig_27_branch_ab_conflict.jpg	f_0301.png	01:15:00	01:15:14	分支A/B改同一行：94d2b56与27e7fd3必然冲突[ocr]
figures/fig_28_conflict_three_versions.jpg	f_0309.png	01:17:00	01:17:14	冲突现场：<<<<<<<标记，Git内部base/ours/theirs三版本[ocr]
figures/fig_29_cs61a_ide.jpg	f_0317.png	01:19:00	01:19:14	code.cs61a.org：浏览器里的完整Python IDE[ocr]
figures/fig_30_pico_hello_python.jpg	f_0325.png	01:21:00	01:21:14	Pico Playground：Unicode字符与整数互转、hello*10[ocr]
figures/fig_31_pico_world_3d.jpg	f_0333.png	01:23:00	01:23:14	Pico World：三重循环drop(x,y)搭建3D体素世界[ocr]
figures/fig_32_learn_to_understand.jpg	f_0346.png	01:26:15	01:26:29	求职市场：把细节做好的bar不断升高[ocr]
figures/fig_33_conventional_commits.jpg	f_0351.png	01:27:30	01:27:44	Conventional Commits规范原文：type前缀+冒号空格[ocr]
figures/fig_34_cjk_spacing.jpg	f_0354.png	01:28:15	01:28:29	中文与英文之间加空格：一致性约定的反例演示[ocr]
figures/fig_35_rollback_reflog.jpg	f_0359.png	01:29:30	01:29:44	Best Practices让错误可恢复：及时commit、reflog、clone边界[ocr]
figures/fig_36_hooks_ci_collab.jpg	f_0366.png	01:31:15	01:31:29	让协作可预期：不改他人依赖历史、Hooks+CI守门[ocr]
figures/fig_37_gh_glab.jpg	f_0371.png	01:32:30	01:32:44	Git之外：gh/glab管issue/PR，一次修复跨两类系统[ocr]
figures/fig_38_atomic_change.jpg	f_0381.png	01:35:00	01:35:14	总结：项目=由atomic change推进的快照，可分支可合并[ocr]
figures/fig_39_agent_project.jpg	f_0388.png	01:36:45	01:36:59	Agent能力内的项目：架构单线程、n≤3终端、AGENTS.md[ocr]
