claim	value	source_time	in_notes
每轮调用新增 token 从 6 起递增，第 5 轮到 26	26	01:45	yes
5 轮累计处理约 80 个 token	80	01:45	yes
OpenHands 1,500 个会话平均使用 77,922 token	77,922	02:45	yes
system prompt 与工具描述占会话 token 的 23%	23%	02:45	yes
用户消息占 9%	9%	02:45	yes
模型直接回复占 2%	2%	02:45	yes
工具调用占 20%	20%	02:45	yes
工具结果占 37%	37%	02:45	yes
OpenHands 的 system prompt 约 15,000 到 18,000 token	15,000--18,000	03:15	yes
工具描述让总前缀在 8,000 到 20,000 token 间变化	8,000--20,000	03:30	yes
100 万 token 序列约有 10^{12} 次成对比较	10^{12}	15:36	yes
单条长序列的算力约 10^{20} 量级	10^{20}	16:00	yes
GLM 5.2 最快供应商约 63 token/s，另一家约 48，主流档位约 24	63--24	09:09	yes
最慢供应商只有约 3 token/s	3	09:26	yes
Qwen3.8-Flash-Next 的局部:全局配比 36:12，约 3:1	36:12	18:30	yes
Nemotron3Ultra 的配比 48:12，即 4:1	48:12	18:30	yes
Inkling-Small 的配比 35:7，即 5:1	35:7	18:30	yes
滑动窗口每层保留 512 个 token	512	19:30	yes
GQA 把 KV 头数减少 4 倍或 8 倍	4--8	35:11	yes
训练需要 128K 量级的连贯文档	128	36:44	yes
上下文并行在 32K 以上开始重要	32	50:44	yes
到第 50 步，历史前缀约是新增输入的 50 倍	50	53:57	yes
缓存输入单价约为常规输入的 0.1 倍（讲者总结）	0.1	54:45	yes
输出单价约为输入的 5 倍，输出与缓存输入相差约 50 倍	5--50	56:14	yes
常见缓存命中率 80% 到 90%，讲者认为 90% 到 95% 才算健康	90--95	55:33	yes
Anthropic 的缓存曾经只有 5 分钟，现在可选到 1 小时	5--1	1:02:00	yes
多机服务集群可能是 64 或 128 个节点	64--128	1:00:07	yes
压缩触发的常见阈值是 200K token	200	1:10:37	yes
压缩示例把 24K 行日志压成 3 个失败点与一条命令	24--3	1:06:45	yes
压缩策略在基准上不掉分，但团队在真实使用中为同一功能收到 5 个 PR	5	1:13:29	yes
