atom	status	evidence
开场与课程定位：timely 的新课（CMU 11-768 AI Agents）	ok	§1.1（fig_01）
16 个 agent 两周写出 10 万行 Rust C 编译器、可编译 Linux 内核（Carlini/Anthropic）	ok	§1.2（fig_02，转写 1:39--2:10）
OpenClaw 清空收件箱事故与「我记得，但我违背了它」	ok	§1.2（fig_03，转写 2:15--3:30）
context compaction 丢失指令导致越权执行（讲者的归因）	ok	§1.2 warningbox
自主性三档：Never / Ask first / Autonomous，六任务现场投票	ok	§1.3（fig_04，转写 3:45--7:10）
GUI agent 演示：VisualWebArena 泰餐检索任务与约束	ok	§1.4（fig_05，转写 7:45）
编码 agent 演示：OpenHands 写 Todo 应用并在浏览器自测	ok	§1.4（fig_06，转写 8:30--11:45）
agent 的定义（Russell & Norvig：感知环境并作用于环境）	ok	§2.1（fig_07，转写 15:30--17:30）
环境的实例化（仓库/网站/应用/工作流）与观测（消息、文件、网页、截图、工具结果）	ok	§2.1（fig_07）
动作（回复用户、改文件、跑 shell、调 API）与奖励	ok	§2.1 正文
奖励三来源：测试用例 0/1、LLM-as-judge、用户反馈	ok	§2.2（转写 17:15--18:15）
next-token prediction 回顾（逐步预测分布、拼接再预测）	ok	§2.2（fig_08，转写 18:30）
chain of thought 是 scratchpad，不是动作	ok	§2.2（fig_08 knowledgebox）
工具定义四要素：name、description、JSON Schema、chat template 渲染	ok	§3.1（fig_09，转写 21:00）
tool call 的 JSON 形态与 tool_call/tool_response 模板	ok	§3.2（fig_10，转写 21:30--23:00）
动作即 token：harness 解析、校验、执行（Toolformer, Schick et al. 2023）	ok	§3.3（fig_11，转写 23:00--24:00）
工具接口的替代方案：直接写 bash/Python 代码（讲者：往往比 JSON 更有效，但有取舍）	ok	§3.4（转写 21:50--22:20）
ReAct 循环：Task/History/Context/Tools 与 Reasoning→Call→Execute→Result	ok	§4.1（fig_12，转写 24:30--26:30）
终止条件：用 send_message 之类的工具调用显式结束任务	ok	§4.1（fig_12 warningbox）
最小实现 mini-swe-agent：run/step/query/execute_actions 四段	ok	§4.2（fig_13，转写 26:30--27:45）
作业 1 要求实现并扩展同类控制器、自建工具	ok	§4.2（fig_13）
真实轨迹阅读：system/user 消息、思维链、bash 调用与退出码（SWE-bench）	ok	§4.3（fig_14，转写 28:15--30:15）
学生吐槽清单（慢、啰嗦、误解、越权、知识盲点、千行改动、忘记历史、不反驳、撒谎、隐含假设）	ok	§5.1（转写 31:15--33:00）
