figure	frame	start	end	topic
figures/fig_01_quadratic_growth.jpg	f_0008.png	01:45	01:59	线性历史→二次输入：每轮新增 6→11→16→21→26 个 token，累计 6/17/33/54/80[ocr]
figures/fig_02_prompt_composition.jpg	f_0012.png	02:45	02:59	OpenHands 会话构成：system+tools 23%、user 9%、reasoning 9%、tool calls 20%、tool results 37%、model replies 2%，均值 77,922[ocr]
figures/fig_03_two_challenges.jpg	f_0021.png	05:00	05:14	两类挑战：capacity（模型能否用上证据）与 efficiency（系统能否负担服务）[ocr]
figures/fig_04_serving_stack.jpg	f_0026.png	06:15	06:29	服务栈元素：scheduler 排队批处理、prefill/decode、KV cache 读写、响应流式返回[ocr]
figures/fig_05_inference_phases.jpg	f_0030.png	07:15	07:29	prefill 一次处理全部 prompt（计算密集），decode 每步一个 token（带宽密集）[ocr]
figures/fig_06_serving_metrics.jpg	f_0032.png	07:45	07:59	服务指标分解：TTFT（到达→首 token）、TPOT（输出 token 间隔）、吞吐与成本[ocr]
figures/fig_07_attention_refresher.jpg	f_0046.png	11:15	11:29	注意力复习：Q=XW_Q、K=XW_K、V=XW_V，A=softmax(QK^T/√d_k)，O=AV，含因果掩码[ocr]
figures/fig_08_effective_context.jpg	f_0053.png	13:00	13:14	广告上下文 vs 有效上下文：GPT-4 检索准确率随长度与文档深度下降的热力图[ocr]
figures/fig_09_local_modeling.jpg	f_0067.png	16:30	16:44	局部建模把成对比较代价从 O(n²) 降到 O(wn)，w 是局部窗口[ocr]
figures/fig_10_hybrid_table.jpg	f_0075.png	18:30	18:44	长上下文混合架构表：Qwen/GLM/Kimi/Nemotron/Inkling/DeepSeek 的 local:global 配比 3:1、4:1、5:1[ocr]
figures/fig_11_sliding_window.jpg	f_0080.png	19:45	19:59	滑动窗口注意力：因果窗口掩码 0≤i-j<w，窗口外 token 无法直接检索[ocr]
figures/fig_12_linear_attention.jpg	f_0089.png	22:00	22:14	线性注意力三步改写：去掉 softmax 归一化→双线性分数→重结合为 S_t=S_{t-1}+k_t v_t^T[ocr]
